,game_name,platform,year_of_release,genre,na_sales,eu_sales,ru_sales,other_sales,critic_score,user_score,rating_type,total_sales,descryption
62,madden nfl 07,ps2,2006,sports,3.63,0.24,0.01,0.61,84.0,8.2,e,4.49,для всех
63,spider-man: the movie,ps2,2002,action,2.71,1.51,0.03,0.23,76.0,7.9,e,4.48,для всех
64,winning eleven: pro evolution soccer 2007,ps2,2006,sports,0.1,2.39,1.05,0.86,86.0,8.9,e,4.4,для всех
65,super mario 3d world,wiiu,2013,platform,2.11,1.16,0.73,0.32,93.0,9.0,e,4.319999999999999,для всех
66,fifa 15,ps3,2014,sports,0.58,3.02,0.04,0.64,-1.0,4.5,e,4.28,для всех
67,namco museum,gba,2001,misc,3.0,1.11,0.05,0.07,79.0,7.3,e,4.23,для всех
68,fifa 14,x360,2013,sports,0.92,2.89,0.01,0.4,84.0,4.2,e,4.22,для всех
69,fifa soccer 06,ps2,2005,sports,0.78,2.55,0.04,0.84,80.0,7.8,e,4.21,для всех
70,eyetoy play,ps2,2003,misc,0.88,2.3,0.2,0.83,80.0,7.5,e,4.21,для всех
71,gran turismo 5 prologue,ps3,2007,racing,1.28,1.82,0.57,0.52,80.0,7.1,e,4.1899999999999995,для всех
72,madden nfl 2003,ps2,2002,sports,3.36,0.21,0.01,0.56,95.0,7.7,e,4.14,для всех
73,world soccer winning eleven 9,ps2,2005,sports,0.12,2.26,0.9,0.77,-1.0,8.2,e,4.05,для всех
74,forza motorsport 2,x360,2007,racing,2.35,1.27,0.03,0.41,90.0,8.3,e,4.06,для всех
75,carnival games,wii,2007,misc,2.12,1.47,0.05,0.42,56.0,6.0,e,4.06,для всех
76,ea sports active,wii,2009,sports,2.09,1.35,0.06,0.4,81.0,8.7,e,3.9,для всех
77,world soccer winning eleven 8 international,ps2,2004,sports,0.16,1.89,1.12,0.68,91.0,9.1,e,3.85,для всех
78,flash focus: vision training in minutes a day,ds,2007,misc,0.86,1.56,1.05,0.35,59.0,4.0,e,3.82,для всех
79,big brain academy: wii degree,wii,2007,misc,1.05,1.91,0.41,0.42,68.0,6.9,e,3.79,для всех
80,harry potter and the sorcerer's stone,ps,2001,action,1.37,2.0,0.14,0.22,64.0,7.5,e,3.7300000000000004,для всех
81,super paper mario,wii,2007,platform,1.95,0.86,0.59,0.31,85.0,7.9,e,3.71,для всех
82,spyro: year of the dragon,ps,2000,platform,1.93,1.58,0.0,0.19,91.0,8.8,e,3.6999999999999997,для всех
83,fifa soccer 2005,ps2,2004,sports,0.58,2.48,0.04,0.59,81.0,7.6,e,3.69,для всех
84,mysims,ds,2007,simulation,1.58,1.59,0.08,0.41,67.0,7.3,e,3.66,для всех
85,jak and daxter: the precursor legacy,ps2,2001,platform,2.08,1.09,0.15,0.33,90.0,8.7,e,3.65,для всех
86,pro evolution soccer 2008,ps2,2007,sports,0.05,0.0,0.64,2.93,82.0,7.9,e,3.62,для всех
87,fifa soccer 10,ps3,2009,sports,0.6,2.45,0.05,0.52,91.0,7.6,e,3.62,для всех
88,luigi's mansion,gc,2001,action,2.38,0.67,0.46,0.1,78.0,8.5,e,3.61,для всех
89,cooking mama 2: dinner with friends,ds,2007,simulation,1.6,1.49,0.1,0.39,70.0,8.0,e,3.58,для всех
90,fifa soccer 11,x360,2010,sports,0.71,2.39,0.02,0.4,88.0,7.5,e,3.52,для всех
91,fifa soccer 2004,ps2,2077,sports,0.59,2.36,0.04,0.51,84.0,6.4,e,3.5,для всех
92,clubhouse games,ds,2006,misc,0.59,1.79,0.73,0.34,83.0,8.4,e,3.4499999999999997,для всех
93,fifa soccer 2003,ps2,2002,sports,0.46,2.28,0.05,0.61,88.0,6.7,e,3.3999999999999995,для всех
94,littlebigplanet 2,ps3,2011,platform,1.83,1.05,0.06,0.46,91.0,8.4,e,3.4,для всех
95,crash bash,ps,2000,misc,1.56,1.47,0.19,0.17,68.0,8.2,e,3.39,для всех
96,fifa 16,xone,2015,sports,0.89,2.12,0.0,0.24,84.0,4.4,e,3.25,для всех
97,wii music,wii,2008,misc,1.35,1.11,0.46,0.32,63.0,4.6,e,3.2399999999999998,для всех
98,madden nfl 16,ps4,2015,sports,2.34,0.3,0.0,0.6,83.0,5.9,e,3.2399999999999998,для всех
99,gran turismo 6,ps3,2013,racing,0.72,1.67,0.4,0.44,81.0,7.7,e,3.2299999999999995,для всех
100,super mario maker,wiiu,2015,platform,1.18,0.89,0.94,0.2,88.0,8.7,e,3.21,для всех
101,ace combat 04: shattered skies,ps2,2001,simulation,2.06,0.56,0.38,0.17,89.0,9.1,e,3.17,для всех
102,animal crossing,gc,2001,simulation,1.92,0.16,0.99,0.09,87.0,8.9,e,3.16,для всех
103,fifa soccer 08,ps2,2007,sports,0.68,0.0,0.0,2.46,83.0,6.5,e,3.14,для всех
104,club penguin: elite penguin force,ds,2008,adventure,1.87,0.97,0.0,0.3,-1.0,8.0,e,3.1399999999999997,для всех
105,spider-man,ps,2000,action,1.7,1.25,0.02,0.16,87.0,9.0,e,3.1300000000000003,для всех
106,mario party 9,wii,2012,misc,1.06,1.09,0.76,0.22,73.0,6.8,e,3.1300000000000003,для всех
107,need for speed iii: hot pursuit,ps,1998,racing,2.14,0.86,0.0,0.13,88.0,-1.0,e,3.13,для всех
108,sonic rush,ds,2005,platform,1.21,1.56,0.06,0.29,82.0,8.5,e,3.12,для всех
109,rhythm heaven,ds,2008,misc,0.55,0.5,1.93,0.13,83.0,9.0,e,3.11,для всех
110,personal trainer: cooking,ds,2006,misc,0.9,1.0,1.03,0.17,81.0,7.8,e,3.0999999999999996,для всех
111,the legend of zelda: a link between worlds,3ds,2013,action,1.4,1.01,0.46,0.23,91.0,8.9,e,3.1,для всех
112,madden nfl 2002,ps2,2001,sports,2.5,0.16,0.01,0.42,94.0,7.9,e,3.09,для всех
113,animal crossing: happy home designer,3ds,2015,simulation,0.51,1.02,1.4,0.12,66.0,6.9,e,3.05,для всех
114,fifa 14,ps4,2013,sports,0.61,1.85,0.11,0.44,87.0,6.3,e,3.01,для всех
115,epic mickey,wii,2010,platform,2.04,0.63,0.12,0.22,73.0,7.0,e,3.0100000000000002,для всех
116,nba 2k13,x360,2012,sports,2.6,0.2,0.01,0.19,88.0,7.2,e,3.0,для всех
117,world soccer winning eleven 6 international,ps2,2002,sports,0.12,1.26,1.16,0.45,93.0,9.1,e,2.99,для всех
118,sonic heroes,ps2,2003,platform,1.04,1.37,0.06,0.49,64.0,7.8,e,2.96,для всех
119,pac-man collection,gba,2001,puzzle,2.07,0.77,0.05,0.05,79.0,7.8,e,2.9399999999999995,для всех
120,kirby super star ultra,ds,2008,platform,1.55,0.04,1.19,0.15,76.0,8.8,e,2.93,для всех
121,fifa 15,x360,2014,sports,0.79,1.92,0.0,0.21,-1.0,4.2,e,2.92,для всех
122,sonic mega collection plus,ps2,2004,misc,1.54,1.14,0.0,0.22,73.0,8.6,e,2.9,для всех
123,world soccer winning eleven 7 international,ps2,2003,sports,0.08,1.24,1.13,0.45,93.0,9.0,e,2.9000000000000004,для всех
124,hot shots golf 3,ps2,2001,sports,0.99,0.32,1.38,0.2,85.0,8.9,e,2.89,для всех
125,cooking mama: cook off,wii,2007,simulation,1.41,1.12,0.05,0.3,61.0,5.3,e,2.88,для всех
126,imagine: babyz,ds,2007,simulation,1.3,1.26,0.0,0.31,-1.0,7.7,e,2.87,для всех
127,madden nfl 13,x360,2012,sports,2.53,0.15,0.0,0.17,81.0,5.8,e,2.8499999999999996,для всех
128,madden nfl 10,x360,2009,sports,2.52,0.09,0.0,0.22,85.0,6.1,e,2.83,для всех
129,finding nemo,gba,2003,action,1.59,1.05,0.04,0.14,-1.0,7.0,e,2.8200000000000003,для всех
130,imagine: fashion designer,ds,2007,simulation,1.32,1.19,0.0,0.3,-1.0,7.6,e,2.8099999999999996,для всех
131,nba street,ps2,2001,sports,2.19,0.22,0.0,0.38,89.0,8.6,e,2.79,для всех
132,yoshi's island ds,ds,2006,platform,1.45,0.07,1.1,0.15,81.0,7.4,e,2.77,для всех
133,sonic and the secret rings,wii,2007,platform,1.21,1.19,0.04,0.29,69.0,6.6,e,2.73,для всех
134,fifa 16,ps3,2015,sports,0.41,1.84,0.05,0.4,-1.0,3.2,e,2.6999999999999997,для всех
135,the legend of zelda: a link to the past,gba,2002,action,1.75,0.52,0.33,0.1,95.0,9.1,e,2.7,для всех
136,madden nfl 12,x360,2011,sports,2.42,0.11,0.0,0.16,78.0,5.9,e,2.69,для всех
137,madden nfl 11,x360,2010,sports,2.38,0.12,0.0,0.18,84.0,5.7,e,2.68,для всех
138,mario vs. donkey kong: mini-land mayhem!,ds,2010,puzzle,1.63,0.51,0.35,0.18,79.0,7.7,e,2.67,для всех
139,fifa 17,xone,2016,sports,0.43,2.05,0.0,0.17,84.0,5.5,e,2.65,для всех
140,hannah montana,ds,2006,action,1.59,0.8,0.0,0.26,-1.0,6.7,e,2.6500000000000004,для всех
141,need for speed: shift,ps3,2009,racing,0.69,1.4,0.04,0.52,84.0,6.9,e,2.65,для всех
142,espn nfl 2k5,ps2,2004,sports,2.15,0.12,0.0,0.36,90.0,8.2,e,2.63,для всех
143,nba 2k12,x360,2011,sports,2.31,0.14,0.01,0.16,90.0,7.7,e,2.62,для всех
144,fifa soccer 10,x360,2009,sports,0.59,1.79,0.01,0.23,90.0,7.5,e,2.6199999999999997,для всех
145,harry potter and the chamber of secrets,ps2,2002,action,0.9,1.22,0.04,0.44,71.0,7.6,e,2.6,для всех
146,nba live 2005,ps2,2004,sports,2.03,0.21,0.0,0.35,84.0,8.1,e,2.59,для всех
147,fifa soccer 09,ps3,2008,sports,0.48,1.63,0.04,0.43,87.0,7.5,e,2.58,для всех
148,style savvy,ds,2008,simulation,0.62,0.82,0.96,0.18,73.0,7.7,e,2.58,для всех
149,madden nfl 08,ps2,2007,sports,2.14,0.08,0.0,0.35,78.0,7.8,e,2.5700000000000003,для всех
150,sonic adventure 2 battle,gc,2001,platform,1.7,0.59,0.21,0.07,73.0,8.3,e,2.57,для всех
151,madden nfl 13,ps3,2012,sports,2.11,0.22,0.0,0.23,83.0,5.5,e,2.56,для всех
152,pokémon colosseum,gc,2003,role-playing,1.21,0.57,0.7,0.07,73.0,8.0,e,2.5499999999999994,для всех
153,madden nfl 09,x360,2008,sports,2.21,0.12,0.0,0.2,83.0,7.0,e,2.5300000000000002,для всех
154,art academy,ds,2010,misc,0.26,1.65,0.33,0.28,75.0,8.0,e,2.5199999999999996,для всех
155,nba 2k14,x360,2013,sports,2.1,0.19,0.0,0.23,87.0,4.9,e,2.52,для всех
156,deca sports,wii,2008,sports,1.11,0.85,0.29,0.25,50.0,5.4,e,2.5,для всех
157,game party,wii,2007,misc,1.47,0.77,0.0,0.24,25.0,4.3,e,2.4800000000000004,для всех
158,mario party 4,gc,2002,misc,1.13,0.36,0.92,0.07,70.0,7.4,e,2.4799999999999995,для всех
159,pure,x360,2008,racing,1.38,0.84,0.0,0.25,85.0,7.7,e,2.4699999999999998,для всех
160,nba 2k13,ps3,2012,sports,1.73,0.43,0.05,0.27,90.0,8.0,e,2.48,для всех
161,nba 2k15,ps4,2014,sports,1.47,0.54,0.01,0.43,83.0,7.0,e,2.4499999999999997,для всех
162,riven: the sequel to myst,pc,1997,adventure,1.52,0.82,0.0,0.1,83.0,-1.0,e,2.44,для всех
163,madden nfl 16,xone,2015,sports,2.08,0.08,0.0,0.26,84.0,6.1,e,2.42,для всех
164,udraw studio,wii,2010,misc,1.65,0.57,0.0,0.2,71.0,-1.0,e,2.42,для всех
165,pro evolution soccer 2011,ps3,2010,sports,0.29,1.17,0.54,0.41,77.0,6.8,e,2.41,для всех
166,atv offroad fury,ps2,2001,racing,2.07,0.26,0.0,0.08,82.0,8.4,e,2.41,для всех
167,frogger's adventures: temple of the frog,gba,2077,adventure,2.15,0.18,0.0,0.07,73.0,-1.0,e,2.4,для всех
168,madden nfl 11,ps3,2010,sports,2.04,0.15,0.0,0.2,83.0,6.1,e,2.39,для всех
169,madden nfl 08,x360,2007,sports,2.18,0.01,0.0,0.18,85.0,6.4,e,2.37,для всех
170,zumba fitness,x360,2010,sports,1.74,0.45,0.0,0.18,42.0,5.5,e,2.37,для всех
171,madden nfl 10,ps3,2009,sports,2.03,0.13,0.0,0.21,85.0,6.8,e,2.3699999999999997,для всех
172,kinect sports: season two,x360,2011,sports,1.38,0.72,0.02,0.22,66.0,6.5,e,2.34,для всех
173,my fitness coach,wii,2008,sports,1.18,0.9,0.0,0.24,-1.0,8.6,e,2.3200000000000003,для всех
174,need for speed: high stakes,ps,1999,racing,1.58,0.64,0.0,0.09,86.0,8.5,e,2.31,для всех
175,paper mario: sticker star,3ds,2012,role-playing,1.12,0.41,0.64,0.14,75.0,5.6,e,2.31,для всех
176,need for speed underground 2,xb,2004,racing,1.38,0.8,0.0,0.1,77.0,8.7,e,2.28,для всех
177,pro evolution soccer 2010,ps3,2009,sports,0.3,1.27,0.46,0.26,78.0,6.7,e,2.29,для всех
178,fifa soccer 09,ps2,2008,sports,0.38,0.07,0.01,1.82,82.0,6.9,e,2.2800000000000002,для всех
179,pokemon ranger: shadows of almia,ds,2008,role-playing,0.94,0.53,0.62,0.18,68.0,8.2,e,2.27,для всех
180,kirby: nightmare in dream land,gba,2002,platform,1.22,0.1,0.91,0.04,81.0,8.9,e,2.27,для всех
181,wario land 4,gba,2001,platform,0.9,0.73,0.54,0.09,88.0,8.9,e,2.26,для всех
182,paper mario: the thousand-year door,gc,2004,role-playing,1.48,0.25,0.46,0.06,87.0,9.4,e,2.25,для всех
183,madden nfl 12,ps3,2011,sports,1.93,0.15,0.0,0.17,79.0,5.5,e,2.25,для всех
184,sonic advance,gba,2001,platform,1.19,0.71,0.22,0.13,87.0,8.1,e,2.25,для всех
185,super monkey ball: banana blitz,wii,2006,misc,1.05,0.91,0.04,0.24,74.0,5.7,e,2.24,для всех
186,just dance kids,wii,2010,misc,1.52,0.54,0.0,0.18,-1.0,-1.0,e,2.24,для всех
187,new super luigi u,wiiu,2013,platform,1.25,0.62,0.18,0.18,77.0,7.9,e,2.2300000000000004,для всех
188,spyro: season of ice,gba,2001,platform,1.29,0.83,0.0,0.11,74.0,8.0,e,2.23,для всех
189,madden nfl 25,x360,2013,sports,1.98,0.06,0.0,0.19,80.0,5.6,e,2.23,для всех
190,forza motorsport 5,xone,2013,racing,1.21,0.79,0.01,0.19,79.0,5.9,e,2.1999999999999997,для всех
191,lego indiana jones: the original adventures,ds,2008,action,1.4,0.59,0.0,0.2,80.0,7.9,e,2.19,для всех
192,madden nfl 15,ps4,2014,sports,1.54,0.25,0.0,0.4,81.0,6.1,e,2.19,для всех
193,pro evolution soccer 2012,ps3,2011,action,0.34,0.96,0.55,0.33,80.0,6.6,e,2.18,для всех
194,atv offroad fury 2,ps2,2002,racing,1.92,0.2,0.0,0.06,82.0,8.9,e,2.18,для всех
195,fifa 15,xone,2014,sports,0.6,1.42,0.0,0.16,82.0,5.4,e,2.18,для всех
196,pokemon ranger,ds,2006,role-playing,1.28,0.03,0.73,0.12,69.0,7.6,e,2.16,для всех
197,dance dance revolution extreme,ps2,2004,simulation,1.04,0.81,0.0,0.27,77.0,9.0,e,2.12,для всех
198,final fantasy tactics advance,gba,2003,role-playing,0.82,0.37,0.89,0.05,87.0,7.8,e,2.13,для всех
199,your shape featuring jenny mccarthy,wii,2009,sports,1.49,0.46,0.0,0.18,62.0,5.2,e,2.13,для всех
200,project gotham racing,xb,2001,racing,1.37,0.61,0.05,0.09,85.0,8.2,e,2.1199999999999997,для всех
201,nba 2k12,ps3,2011,sports,1.62,0.26,0.05,0.18,90.0,6.7,e,2.1100000000000003,для всех
202,need for speed: hot pursuit 2,ps2,2002,racing,1.68,0.31,0.02,0.09,89.0,8.5,e,2.0999999999999996,для всех
203,nba 2k14,ps3,2013,sports,1.44,0.31,0.04,0.32,84.0,4.9,e,2.11,для всех
204,tetris ds,ds,2006,puzzle,0.63,0.05,1.35,0.08,84.0,8.7,e,2.1100000000000003,для всех
205,nba 2k11,x360,2010,action,1.84,0.12,0.01,0.13,89.0,8.1,e,2.1,для всех
206,tetris worlds,ps2,2002,puzzle,1.11,0.71,0.0,0.27,44.0,6.2,e,2.09,для всех
207,sim theme park,pc,1998,strategy,2.04,0.04,0.0,0.0,-1.0,8.3,e,2.08,для всех
208,mario party 5,gc,2003,misc,0.97,0.33,0.73,0.06,69.0,8.2,e,2.0900000000000003,для всех
209,mario sports mix,wii,2010,sports,0.88,0.44,0.63,0.12,64.0,7.1,e,2.0700000000000003,для всех
210,the sims 2: pets,ds,2006,simulation,0.92,0.93,0.0,0.22,49.0,5.2,e,2.0700000000000003,для всех
211,driveclub,ps4,2014,racing,0.36,1.38,0.02,0.31,71.0,6.1,e,2.07,для всех
212,the incredibles,gba,2004,action,1.15,0.77,0.04,0.1,55.0,-1.0,e,2.06,для всех
213,sonic mega collection,gc,2002,misc,1.47,0.48,0.05,0.06,75.0,8.8,e,2.06,для всех
214,madden nfl 15,x360,2014,sports,1.77,0.06,0.0,0.22,-1.0,5.5,e,2.0500000000000003,для всех
215,donkey kong country,gba,2003,platform,1.2,0.48,0.29,0.07,78.0,8.9,e,2.04,для всех
216,carnival games,ds,2008,misc,1.21,0.63,0.0,0.19,48.0,3.3,e,2.03,для всех
217,nba live 2004,ps2,2003,sports,1.57,0.18,0.0,0.27,86.0,7.7,e,2.02,для всех
218,pokémon mystery dungeon: blue rescue team,ds,2005,role-playing,1.15,0.04,0.83,0.0,62.0,8.1,e,2.02,для всех
219,harry potter and the chamber of secrets,gba,2002,action,1.21,0.64,0.05,0.09,76.0,7.9,e,1.9900000000000002,для всех
220,harry potter and the chamber of secrets,ps,2002,action,0.75,1.09,0.02,0.12,-1.0,8.5,e,1.98,для всех
221,spyro: enter the dragonfly,ps2,2002,platform,0.74,0.95,0.0,0.28,56.0,4.1,e,1.97,для всех
222,crash nitro kart,ps2,2003,racing,0.74,1.01,0.0,0.2,69.0,7.7,e,1.95,для всех
223,nba street vol. 2,ps2,2003,sports,1.69,0.2,0.0,0.06,90.0,8.8,e,1.95,для всех
224,kirby squeak squad,ds,2006,platform,0.78,0.02,1.05,0.08,71.0,8.1,e,1.9300000000000002,для всех
225,who wants to be a millionaire,pc,1999,misc,1.94,0.0,0.0,0.0,-1.0,-1.0,e,1.94,для всех
226,scooby doo and the cyber chase,ps,2001,adventure,0.59,1.23,0.0,0.13,-1.0,7.4,e,1.9499999999999997,для всех
227,fifa soccer 09,x360,2008,sports,0.49,1.26,0.01,0.18,87.0,8.0,e,1.94,для всех
228,mario party: island tour,3ds,2013,misc,0.62,0.64,0.55,0.11,57.0,6.3,e,1.9200000000000002,для всех
229,mx unleashed,ps2,2004,racing,0.94,0.73,0.0,0.25,80.0,9.2,e,1.92,для всех
230,need for speed: shift,x360,2009,racing,0.73,0.96,0.01,0.22,83.0,6.5,e,1.92,для всех
231,littlebigplanet 3,ps4,2014,platform,0.66,0.93,0.01,0.31,79.0,7.1,e,1.9100000000000001,для всех
232,mario super sluggers,wii,2008,sports,1.48,0.0,0.29,0.12,69.0,7.8,e,1.8900000000000001,для всех
233,monopoly,wii,2008,misc,0.86,0.83,0.0,0.2,70.0,7.8,e,1.89,для всех
234,madden nfl 09,ps3,2008,sports,1.56,0.14,0.0,0.18,85.0,4.4,e,1.8800000000000001,для всех
235,game party 2,wii,2008,misc,1.28,0.43,0.0,0.17,29.0,4.6,e,1.88,для всех
236,nba 2k17,ps4,2016,sports,1.25,0.27,0.02,0.34,88.0,6.7,e,1.8800000000000001,для всех
237,toy story mania!,wii,2009,misc,1.04,0.66,0.0,0.18,49.0,6.6,e,1.8800000000000001,для всех
238,madden nfl 25,ps3,2013,sports,1.6,0.03,0.0,0.24,76.0,4.1,e,1.87,для всех
239,madden nfl 06,xb,2005,sports,1.75,0.03,0.0,0.08,86.0,6.7,e,1.86,для всех
240,shrek 2,ps2,2004,platform,1.12,0.69,0.03,0.02,71.0,8.5,e,1.86,для всех
241,nba live 2002,ps2,2001,sports,0.91,0.71,0.0,0.24,70.0,7.4,e,1.86,для всех
242,kingdom hearts: chain of memories,gba,2004,role-playing,1.26,0.18,0.35,0.06,76.0,7.9,e,1.85,для всех
243,phineas and ferb,ds,2009,action,1.32,0.37,0.0,0.15,80.0,4.5,e,1.8399999999999999,для всех
244,ncaa football 06,ps2,2005,sports,1.53,0.05,0.0,0.25,87.0,8.5,e,1.83,для всех
245,kirby: triple deluxe,3ds,2014,platform,0.61,0.34,0.79,0.09,80.0,8.8,e,1.83,для всех
246,sonic classic collection,ds,2010,platform,0.92,0.73,0.0,0.17,70.0,7.5,e,1.8199999999999998,для всех
247,namco museum,ps2,2001,misc,1.73,0.07,0.0,0.02,72.0,6.0,e,1.82,для всех
